Código,Produto / Descrição
250166,BATATA APERITIVO QUILOGRAMA
2501660,BATATA APERITIVO QUILOGRAMA
250169,BATATA IAKON QUILOGRAMA
250173,BERINGELA HORTAVIVA
250175,BERINJELA QUILOGRAMA
250272,CAJA QUILOGRAMA
250279,CAQUI RAMA FORTE QUILOGRAMA
250281,CARA PAULISTA QUILOGRAMA
250337,CEBOLA APERITIVO PARA CHURRASCO QUILOGRAMA
250341,CENOURA CUBOS VÁCUO CENTRAL DE FRUTAS LEGUMES E VERDURAS QUILOGRAMA
250343,CENOURA RALADA CENTRAL DE FRUTAS LEGUMES E VERDURAS QUILOGRAMA
250355,COCO SECO QUILOGRAMA
250374,COUVE FOLHA FATIADA CENTRAL DE FRUTAS LEGUMES E VERDURAS QUILOGRAMA
250390,ENDIVIA BRANCA QUILOGRAMA
250392,ERVILHA TORTA QUILOGRAMA
250437,GENGIBRE QUILOGRAMA
250440,GRAVIOLA QUILOGRAMA
250447,JERIMUM JACAREZINHO QUILOGRAMA
250450,JERIMUM LEITE PEDACOS CENTRAL DE FRUTAS LEGUMES E VERDURAS VÁCUO QUILOGRAMA
250451,JILO QUILOGRAMA
250470,LIMA DA PERSIA QUILOGRAMA
250475,TANGERINA PONKAN QUILOGRAMA
250518,MAÇÃ IMPORTADA VERDE QUILOGRAMA
250520,MAÇÃ IMPORTADA VERMELHA QUILOGRAMA
250523,MAÇÃ PINK LADY QUILOGRAMA
250527,MAMÃO FORMOSA QUILOGRAMA
250541,MAMÃO PARTIDO AO MEIO SEM CASCA QUILOGRAMA
250546,MANDIOQUINHA QUILOGRAMA
250548,MANGA CUBOS CENTRAL DE FRUTAS LEGUMES E VERDURAS QUILOGRAMA
250549,MANGA ESPADA QUILOGRAMA
250551,MANGA PALMER QUILOGRAMA
250553,MANGA ROSA QUILOGRAMA
250559,MAXIXE QUILOGRAMA
250568,MELANCIA BABY QUILOGRAMA
250571,MELANCIA CEPI QUILOGRAMA INDIVIDUAL
250573,MELAO AMARELO ESPANHOL SEM CASCA FATIADO CENTRAL DE FRUTAS LEGUMES E VERDURAS QUILOGRAMA
250574,MELAO ESPANHOL FAMOSA REDINHA QUILOGRAMA
250577,MELAO CANTALOUPE QUILOGRAMA
250579,MELAO CEPI QUILOGRAMA
250581,MELAO CHARENTAIS QUILOGRAMA
250585,MELAO GALIA QUILOGRAMA
250588,MELAO JAPONES SEM CASCA FATIADO CENTRAL DE FRUTAS LEGUMES E VERDURAS QUILOGRAMA
250591,MELAO ORANGE FRESH QUILOGRAMA
250595,MELAO PORTUGUES QUILOGRAMA
250599,MELAO REI REDINHA DOCE MEL QUILOGRAMA
250662,BAGUETE GERGELIM
250663,BAGUETE INTEGRAL
250664,BAGUETE
2506740,PÃO BRIOCHE FABRICAÇÃO PRÓPRIA COM CREME QUILOGRAMA
250682,PÃO CEIA FABRICAÇÃO PRÓPRIA
250759,PEPINO ORGANICO QUILOGRAMA
250763,PEPINO JAPONES SEMPRE VERDE QUILOGRAMA
250769,PERA PACKAN'S
250772,PERA RED QUILOGRAMA
250774,PERA WILLIANS QUILOGRAMA
250789,PESSEGO QUILOGRAMA
250802,PIMENTA BIQUINHO QUILOGRAMA
250806,PIMENTA DE CHEIRO QUILOGRAMA
250812,PIMENTAO AMARELO QUILOGRAMA
250817,PIMENTAO VERMELHO QUILOGRAMA
250819,PINHA QUILOGRAMA
250821,PITAYA QUILOGRAMA
250827,POLPA MARACUJA CENTRAL DE FRUTAS LEGUMES E VERDURAS QUILOGRAMA
251008,QUIABO HORTAVIVA
251010,QUIABO
251017,REPOLHO ROXO QUILOGRAMA
251025,ROMA QUILOGRAMA
251028,SALADA 4 CORES RALADA CENTRAL DE FRUTAS LEGUMES E VERDURAS QUILOGRAMA
251029,SALADA DE FRUTAS CENTRAL DE FRUTAS LEGUMES E VERDURAS QUILOGRAMA
251031,SALADA VINAGRETE CENTRAL DE FRUTAS LEGUMES E VERDURAS QUILOGRAMA
251059,SALGADO COXINHA FRANGO UNIDADE. FABRICAÇÃO PRÓPRIA
251069,SALSAO BRANCO QUILOGRAMA
251079,SAPOTI QUILOGRAMA
251083,SELETA LEGUMES RALADA CENTRAL DE FRUTAS LEGUMES E VERDURAS QUILOGRAMA
251091,TERMO FUNCIONARIO
251094,TOMATE CEREJA HORTAVIVA
251096,TOMATE GRAPE QUILOGRAMA
251115,ABACATE MANTEIGA QUILOGRAMA
251137,UVA BENITAKA QUILOGRAMA
251139,UVA CRIMSON SEM SEMENTE QUILOGRAMA
251141,UVA ISABEL QUILOGRAMA
251153,VALE ÁGUA MINERAL SANTA MARIA 20L
251156,VALE GAS BRASILGAS
251160,VALE REFEICAO PROMOTOR
251191,ALECRIM UNIDADE
2512190,ASA FRANGO RESFRIADO QUILOGRAMA
251221,ATEMOIA QUILOGRAMA
251234,BANANA ORGANICA PACOVAN QUILOGRAMA
251235,BATATA DOCE ORGANICA HORTAVIVA QUILOGRAMA
251261,CAQUI IMPORTADO QUILOGRAMA
251262,CARAMBOLA QUILOGRAMA
251277,CEBOLINHA UNIDADE
251278,CEBOLINHA ORGANICA UNIDADE
251285,CHICORIA HIDROPONICA UNIDADE
251286,CHICORIA ORGANICA UNIDADE
251289,COCO VERDE UNIDADE
251291,COENTRO ORGANICO UNIDADE
251292,COENTRO UNIDADE
251293,COENTRO HIDROPONICO UNIDADE
251331,COUVE FOLHA UNIDADE
251332,COUVE FOLHA ORGANICA UNIDADE
251333,COUVE FOLHA HIDROPÔNICO UNIDADE
2513340,COXA FRANGO RESFRIADO QUILOGRAMA
2513520,COXINHA ASA FRANGO RESFRIADO QUILOGRAMA
251365,ESPINAFRE ORGANICO UNIDADE
251366,ESPINAFRE UNIDADE
251367,FAVA VERDE QUILOGRAMA
2513720,FIGADO FRANGO RESFRIADO QUILOGRAMA
2513860,FILE PEITO FRANGO RESFRIADO QUILOGRAMA
2513950,FILE SOBRECOXA FRANGO SEM PELE RESFRIADO QUILOGRAMA
251432,HORTELA UNIDADE
251433,HORTELA HIDROPONICO UNIDADE
251483,MANGA COITE QUILOGRAMA
251484,MANGA KEIT QUILOGRAMA
251486,MANJERICAO ORGANICO UNIDADE
251487,MANJERICAO UNIDADE
251488,MANJERICAO HIDROPONICO UNIDADE
251490,MASTRUZ MOLHO
2514940,MEIO DA ASA BOM TODO RESFRIADO K G
251495,MELANCIA MAGALI TURMA DA MONICA QUILOGRAMA
251500,MELAO DINO MELICIA QUILOGRAMA
251543,NECTARINA QUILOGRAMA
251611,PIMENTA DEDO DE MOCA QUILOGRAMA
251613,PIMENTÃO LARANJA QUILOGRAMA
251615,PINHAO QUILOGRAMA
251819,RUCULA UNIDADE
251820,RUCULA ORGANICA UNIDADE
251822,SALSA UNIDADE
251823,SALSA ORGANICA MOLHO
251839,SALSINHA HIDROPONICA RANCHO GRANDE
251843,SERIGUELA QUILOGRAMA
2518450,SOBRECOXA FRANGO RESFRIADO QUILOGRAMA
251851,TAMARINDO QUILOGRAMA
251856,UVA IMPORTADA RED GLOBE QUILOGRAMA
251859,VAGEM QUILOGRAMA
252170,LICHIA QUILOGRAMA
252184,CEREJA FRESCA
252190,CASTANHA PORTUGUESA QUILOGRAMA
252244,GRAPEFRUIT QUILOGRAMA
252322,MELÃO YELLORANGE MELUNA QUILOGRAMA
252605,LIMAO SICILIANO QUILOGRAMA
252668,CENOURA INTEIRO SEM CASCA VÁCUO CENTRAL DE FRUTAS LEGUMES E VERDURAS QUILOGRAMA
252687,PERA ASIATICA QUILOGRAMA
252742,GOIABA CROCANTE QUILOGRAMA
252762,CEBOLA COLOSSAL QUILOGRAMA
252791,MELANCIA PINGO DOCE QUILOGRAMA
252860,BANANA MAÇÃ MELICIA
252865,MUDA DE ORQUÍDEA UM
252956,COCO SECO PARTIDO AO MEIO QUILOGRAMA
253056,TANGERINA IMPORTADA BANDEJA QUILOGRAMA
253057,LARANJA PERA BANDEJA QUILOGRAMA
253070,GRAPEFRUIT BANDEJA QUILOGRAMA
253071,CEREJA BANDEJA QUILOGRAMA
253280,SALGADO FOLHADO FABRICAÇÃO PRÓPRIA QUEIJO UNIDADE
253281,SALGADO FOLHADO FABRICAÇÃO PRÓPRIA FRANGO UNIDADE
253282,MAMÃO FORMOSA ORGANICO
253295,MANGA TOMMY ORGANICA QUILOGRAMA
253303,MANGA ROSA ORGANICA QUILOGRAMA
253365,SALGADO COXINHA FRANGO E REQUEIJÃO FABRICAÇÃO PRÓPRIA
253370,PIMENTA BICO DOCE QUILOGRAMA
253373,SALGADO CARNE E REQUEIJÃO FABRICAÇÃO PRÓPRIA
253395,PIMENTA HABANERO VERMELHA QUILOGRAMA
253396,PIMENTA JALAPENOS QUILOGRAMA
253408,PIMENTA HABANERO LARANJA QUILOGRAMA
253409,PIMENTA JOLOKIA QUILOGRAMA
253412,PIMENTA HABANERO AMARELA QUILOGRAMA
253413,PIMENTA HABANERO CHOCOLATE QUILOGRAMA
253417,JABUTICABA QUILOGRAMA
253427,MIX DE LEGUMES PARA YAKISSOBA QUILOGRAMA
253626,CENOURA E BETERRABA RALADOS NORDESTÃO QUILOGRAMA
253627,MAMÃO FORMOSA CUBOS NORDESTÃO QUILOGRAMA
253636,MAMÃO FORMOSA AO MEIO NORDESTÃO QUILOGRAMA
253638,MIX DE REPOLHOS NORDESTÃO QUILOGRAMA
253640,PIMENTA FILDALGA QUILOGRAMA
253648,PIMENTA DE CHEIRO ARDIDA QUILOGRAMA
253650,PIMENTA SERRANO VERDE QUILOGRAMA
253651,MIX PARA MOLHO NORDESTÃO
253652,BATATA E CENOURA CUBOS NORDESTÃO QUILOGRAMA
253661,PIMENTA BODE VERMELHA QUILOGRAMA
253662,BATATA INGLESA CUBOS NORDESTÃO QUILOGRAMA
253663,PIMENTA BODE AMARELA QUILOGRAMA
253729,"BATATA, CENOURA, VAGEM E ABÓBORA NORDESTÃO QUILOGRAMA"
253853,MAMÃO FORMOSA CUBOS NORDESTÃO POTE QUILOGRAMA
253875,NOZES QUILOGRAMA
253888,CUPUACU QUILOGRAMA
253975,AMENDOIM JAPONES QUILOGRAMA
254012,CURCUMA ACAFRAO QUILOGRAMA
254014,MILHO ESPANHOL PIZZA QUILOGRAMA
254134,TAXA DE ENTREGA MUNICIPAL
254220,TAXA DE ENTREGA INTERMUNICIPAL II
254455,MAÇÃ CRIPPYS
254469,PÃO ITALIANO FABRICAÇÃO PRÓPRIA QUILOGRAMA
254514,SALADA DE FRUTAS MAMÃO/MANGA/ABACAXI/KIWI QUILOGRAMA
254526,SALADA DE FRUTAS MAMÃO/MELÃO/ABACAXI/UVA QUILOGRAMA
254701,NABO QUILOGRAMA
254769,CEBOLA IMPORTADA QUILOGRAMA
254835,MARACUJA DOCE QUILOGRAMA
254836,CACAU QUILOGRAMA
254866,ALCACHOFRA QUILOGRAMA
254937,PITAYA AMARELA IMPORTADA QUILOGRAMA
254955,TOMATINHO RAMA TREBESCHI QUILOGRAMA
254966,PIMENTA JALAPENO VERMELHA QUILOGRAMA
254967,LIMAO SICILIANO NACIONAL QUILOGRAMA
255117,MAÇÃ VERMELHA GALA QUILOGRAMA
255131,TANGERINA IMPORTADA QUILOGRAMA
255132,LARANJA BAHIA IMPORTADA QUILOGRAMA
255345,PARMESAO ERVAS
255351,BRIOCHE CREME
255373,PÃO ESPECIAL FABRICAÇÃO PRÓPRIA QUILOGRAMA
255383,JACA QUILOGRAMA INDIVIDUAL
255473,GORGONZOLA
255474,AZEITONA
255475,TOMATE SECO
255476,CALABRESA
2557270,COXA/SOBRE FRANGO BOM TODO R ESF QUILOGRAMA
2557280,PE FRANGO BOM TODO RESFRIADO QUILOGRAMA
751320164469,GOIABA ORGANICA 500G
751320164490,PIMENTA CHEIRO ORGANICA100G
751320164513,PIMENTA DEDO MOCA ORGANICA 200G
751320164544,TOMATE ORGANICO 500G
751320164551,ABOBRINHA VERDE ORGANICO 1KG
751320164568,BATATA DOCE ORGANICO 500G
751320164629,BETERRABA ORGANICO 500G
751320518538,RUCULA HIDROPONICA UNIDADE
751320888518,CEBOLA ORGANICA 500G
751320889027,CEBOLINHA HIDROPONICA UNIDADE
7751320889058,ESPINAFRE HIDROPONICO UNIDADE
7804643270003,MIRTILO 125G
7896304000012,MAÇÃ NACIONAL TURMA MONICA PACOTE 1KG
7898049880225,GARRAFÃO SANTA MARIA 20L PREMIUM
7898049880287,ÁGUA SANTA MARIA 20L PLUS
7898065900600,SUCO BETERRABA NORDESTÃO 500ML
7898065900617,SUCO DE LARANJA 300ML
7898065900624,PIZZA ASSADA PRESUNTO FABRICAÇÃO PRÓPRIA
7898065900631,PIZZA ASSADA SERTANEJA FABRICAÇÃO PRÓPRIA
7898065900648,PIZZA ASSADA PRESUNTO E CALABRESA FABRICAÇÃO PRÓPRIA
7898065900655,PIZZA ASSADA FRANGO FABRICAÇÃO PRÓPRIA
7898065900662,PIZZA ASSADA CALABRESA FABRICAÇÃO PRÓPRIA
7898065900679,PIZZA ASADA MUSSARELA FABRICAÇÃO PRÓPRIA
7898065902130,SALGADO FOLHADO FRANGO FABRICAÇÃO PRÓPRIA
7898065902147,SALGADO FOLHADO PRESUNTO/QUEIJO FABRICAÇÃO PRÓPRIA
7898065902154,SALGADO FOLHADO QUEIJO FABRICAÇÃO PRÓPRIA
7898065902161,SALGADO FOLHADO SALSICHA FABRICAÇÃO PRÓPRIA
7898065902437,SUCO DETOX NORDESTÃO 500ML
7898065905964,VALE DESJEJUM PROMOTOR
7898065906053,VALE REFEIÇÃO PROMOTOR
7898065907067,SACOLA NORDESTÃO 50 ANOS
7898140980114,BROCOLIS HORTIFRIOS UNIDADE
7898140981128,ALFACE LISA HIDROPONICA UNIDADE
7898140981982,ALHO PREMIUM
7898140982118,NABO HORTIFRIOS UNIDADE.
7898366000092,ABACAXI GOLD DOCE MEL
7898366000139,ABACAXI PREMIUM DOCE MEL UNIDADE
7898681940011,COCO VERDE AQUACOCO DESCASCADO UNIDADE
7898910185121,GOMA FRESCA DELICIA POTIGUAR ORGANICO
7898915681024,PHYSALIS
7898929773623,BATATA YACON 500G
789894959166,ESPINAFRE ORGANICO UNIDADE
7898949599029,ALFACE AMERICANA ORGANICA UNIDADE
7898949599036,ALFACE CRESPA ORGANICA UNIDADE
7898949599043,ALFACE ROXA ORGANICA UNIDADE
7898949599050,ALFACE LISA ORGANICA UNIDADE
7898949599067,ALFACE MIMOSA ORGANICO UNIDADE
7898949599111,CEBOLINHA ORGANICA UNIDADE
7898949599180,HORTELA ORGANICO UNIDADE
7898949599210,RUCULA ORGANICA UNIDADE
7898949599227,SALSA ORGANICA MOLHO
7898949599289,AGRIAO UNIDADE
7898949599333,ALFACE LISA SEMPRE UNIDADE
7898949599340,ALFACE MIMOSA UNIDADE
7898949599517,MOSTARDA
7898949599944,MILHO VERDE BANDEJA 5 UNIDADES
7898963133100,CENOURA ORGANICO 600G
7898963133209,CHUCHU ORGANICO 600G
7898963133247,PIMENTAO VERDE ORGANICO 300G
7899090119609,ALFACE AMERICANO PEDRA DE FOGO UNIDADE.
90513,COLETE PROMOTOR TACTEL AZUL UNIDADE.
